,man,e000,
,oppose,e330,
,hour,e331,
,control,e332,
,trouble,e333,
,Christ,e334,Matt 1:1
,Messiah,e334,John 4:25
,Beelzebul,e335,Matt 10:25
,Satan,e335,Job 1:6
,John_the_Baptist,e336,Matt 3:4
,Galilee,e337,Josh 20:7
,Jerusalem,e338,Josh 10:1
,Judea,e339,Rom 15:31
,Capernaum,e33a,Matt 4:13
,Tyre,e33b,Josh 19:29
,Sidon_city,e33c,Matt 11:21
,Canaan_land,e33d,Acts 7:11
,Decapolis,e33e,Matt 4:25
,Gadara,e33f,Matt 8:28
,Gerasenes,e33f,Mark 5:1
,Bethsaida,e340,Matt 11:21
,Gennesaret,e341,Matt 14:34
,Aram,e342,
,Syria,e342,Matt 4:24
,Phoenicia,e343,Acts 11:19
,Dalmanutha,e344,Mark 8:10
,Greece,e345,Acts 20:3
,Caesarea,e346,Matt 16:13
,Philippi,e347,Phil 1:1
,Bethphage,e348,Matt 21:1
,Bethany,e349,Matt  21:17
,Gethsemane,e34a,Matt 26:36
,Golgotha,e34b,Matt 27:33
,Joda,e34b,Luke 3:26
,month,e34c,
,Arimathea,e34d,Matt 27:57
,Nazareth,e34e,Matt 2:23
,Jordan_River,e34f,Gen 50:10
,Sea_of_Galilee,e350,Matt 4:18
,Mount_of_Olives,e351,Matt 21:1
,Son_of_Man,e352,Matt 8:20
,Mary_Magdalene,e353,Mark 15:40
,Mary,e354,Matt 27:56
,Mary_Mother_of_Jesus,e354,Matt 1:16
,Herodias,e355,Matt 14:3
,Cephas,e356,John1:42
,Simon_Peter,e356,Matt 4:18
,Andrew,e357,Matt 4:18
,James,e358,Matt 4:21
,Zebedee,e359,Matt 4:21
,John,e35a,John 1:42
,John_the_Disciple,e35a,Matt 4:21
,Moses,e35b,Exod 2:10
,Levi_Matthew,e35c,Luke 5:29
,idol,e35d,
,David,e35e,Matt 1:1
,Abiathar,e35f,Mark 2:26
,Herod,e360,Matt 2:1
,Philip,e361,Matt 10:3
