Helon,e1fc,Num 1:9
Heman,e1b2,1 Kgs 4:31
Hemdan,eff4,Gen 36:26
Hepher,e3ad,Num 26:32
Hermas,ebc4,Rom 16:14
Hermes_idol,eb2f,Acts 14:12
Hermes_man,ebed,Rom 16:14
Hermogenes,ecb5,2 Tim 1:15
Herod,e360,Matt 2:1
Herodians,ea05,Mark 3:6
Herodias,e355,Matt 14:3
Herodion,ebf1,Rom 16:11
Heshbon,e3ae,Josh 13:26
Heth,edec,Gen 10:15
Hezekiah,ea62,2 Kgs 16:20
Hezron,ea4f,Gen 46:9
Hierapolis,ece9,Col 4:13
Hirah,e1b3,Gen 38:1
Hittites,eded,Gen 15:20
Hivites,edee,Exod 3:8
Hobab,e1fd,Num 10:29
Hobah,edef,Gen 14:15
Hoglah,e3af,Num 26:33
Hoham,e433,Josh 10:3
Hor_Haggidgad,e3ec,Num 33:32
Horam,e434,Josh 10:33
Hori,eff5,Gen 36:22
Horites,edf1,Gen 14:6
Hormah,e2f8,Num 14:45
Hosea,ebc5,Hos 1:1
how_long,e83c,Exod 10:3
Hul,edf2,Gen 10:23
human_nature,e23d,Rom 6:19
Hupham,e3b0,Num 26:39
Huppim,efc5,Gen 46:21
Hur,e2e0,Exod 31:2
Husham,e1b4,Gen 36:34
Hushim,efc6,Gen 46:23
Hymenaeus,ecaa,1Tim 1:20
hymn,e0e3,Matt 26:30
Ibleam,e469,Josh 17:11
Iconium,ec1f,Acts 13:51
Idumea,e378,Mark 3:8
Iezer,e3b1,Num 26:30
Igal,e1fe,Num 13:7
Illyricum,ebc6,Rom 15:19
Imnah,efc7,1 Chr 7:30
India,e4a2,Esth 8:9
Irad,edf3,Gen 4:18
Iram,eff6,Gen 36:43
Isaac,e374,Gen 17:19
Isaiah,e372,2 Kgs 19:2
Ishbak,eeda,Gen 25:2
Ishbosheth,e48a,2 Sam 2:8
Ishmael,e1b5,Gen 17:18
Ishvah,efc8,Gen 46:17
Ishvi,efc9,Gen 46:17
Iskah,eedb,Gen 11:29
Israel,ea04,Gen 32:28
Issachar,ecce,Gen 30:18
Italy,ec90,Acts 18:2
Ithamar,e2e1,Exod 28:1
Ithran,e1b6,Gen 36:26
Ituraea,ec3e,Luke 3:1
Iye_Abarim,e3b2,Num 21:11
Izhar,e2c1,Exod 6:18
Jabal,e1b7,Gen 4:20
Jabbok,efca,Gen 32:22
Jacob,e375,Gen 25:26
Jahaz,e3b3,Num 21:23
Jahleel,efcb,Gen 46:14
Jahziel,e1b8,Gen 46:24
Jair,e3cc,Num 32:41
Jairus,e367,Mark 5:22
Jakin,e1b9,Gen 46:10
Jalam,eff7,Gen 36:5
Jambres,ecbc,2 Tim 3:8
James,e358,Matt 4:21
James_the_Disciple,e376,Mark 1:19
Jamin,efcc,Gen 46:10
Jannai,ec46,Luke 3:24
Jannes,ecbe,2 Tim 3:8
Janoah,e46a,Josh 16:7
Japheth,edf4,Gen 6:10
Japhia,e435,Josh 10:3
Japhlet,e46b,Josh 16:3
Jared,ec62,Gen 5:15
Jarmuth,e436,Josh 10:3
Jashub,e389,Num 26:24
Jason,eb64,Acts 17:5
Javan,e1ba,Gen 10:2
Jazer,e38a,Num 21:32
Jebusites,e1e5,Gen 10:16
Jechoniah,ea66,Matt 1:11
Jegar_Sahadutha,e1e6,Gen 31:47
Jehoiachin,e41b,2 Kgs 24:6
Jehoshaphat,ea5d,1 Kgs 15:24
Jehozadak,e47e,1 Chron 6:15
Jemuel,efcd,Exod 6:15
Jephthah,ed04,Judg 11:1
Jephunneh,e3ee,Num 26:65
Jerah,edf5,Gen 10:26
Jeremiah,ea28,2 Chr 36:12
Jericho,ea08,Num 22:1
Jeroboam,e457,1 Kgs 11:26
Jerusalem,e338,Josh 10:1
Jesse,ea58,Ruth 4:17
Jesus,e037,Matt 1:1
Jetheth,eff8,Gen 36:40
Jethro,e0cc,Exod 18:1
Jetur,eedc,Gen 25:15
Jeush,e1bb,Gen 36:5
Jew,e0f9,Esth 2:5
Jewish,e0f9,Titus 1:14
Jezebel,eca2,1 Kgs 16:31
Jezer,e1bc,Gen 46:24
Jezreel,e46c,Josh 17:16
Jidlaph,efce,Gen 22:22
Joanan,ec4c,Luke 3:27
Joanna,ec63,Luke 8:3
Joash,e458,Judg 6:31
Job,ed0b,Job 1:1
Jobab,edf6,Gen 10:29
Jochebed,e2c4,Exod 6:20
Joda,e34b,Luke 3:26
Joel,ec92,Joel 1:1
Jogbehah,e3cd,Num 32:35
Jogli,e3ef,Num 34:22
John,e35a,John 1:42
John_the_Baptist,e336,Matt 3:4
John_the_Disciple,e35a,Matt 4:21
Jehozadak,e494,Zech 6:11
Jokneam,e442,Josh 12:22
Jokshan,eedd,Gen 25:2
Joktan,e1bd,Gen 10:25
Jonah,e0c5,Jonah 1:1
Jonah_Simons_father,ea29,Matt 16:17
Jonam,ec9b,Luke 3:30
Jonathan,e48b,1 Sam 13:2
Joppa,ec2d,Jonah 1:3
Joram,ea5e,2 Kgs 8:16
Jordan_River,e34f,Gen 50:10
Jorim,ec64,Luke 3:29
Joseph,ea15,Gen 30:24
Joses,e369,Matt 13:55
Joshua,eb03,Exod 17:9
Josiah,ea65,2 Kgs 21:24
Jotbathah,e3f0,Num 33:33
Jotham,eb82,Judg 9:5
Jubal,edf7,Gen 4:21
Judah_land,e426,Hag 1:1
Judah_man,ea4b,Gen 29:35
Judas,e368,Mark 6:3
Judas_Iscariot,e365,Matt 10:4
Judas_not_Iscariot,e368,John 14:22
Jude,e368,Jude 1:1
Judea,e339,Rom 15:31
Judith,edf8,Gen 26:34
Julia,ebc7,Rom 16:15
Julius,ec07,Acts 27:1
Junia,ebc8,Rom 16:7
Justus,eb6a,Acts 1:23
Kadesh,edf9,Gen 14:7
Kadesh_Barnea,edf9,Num 34:4
Kadmonites,efd1,Gen 15:19
Kalneh,edfa,Gen 10:10
Kanah_brook,e46d,Josh 16:8
Kanah_village,e46e,Josh 19:28
Karmi,efd2,Gen 46:9
Kasluhites,edc9,Gen 10:14
Kedar,eede,Gen 25:13
Kedemah,eedf,Gen 25:15
Kedemoth,e49a,Duet 2:26
Kedorlaomer,edfb,Gen 14:1
Kehelathah,e3f1,Num 33:22
Kemuel,efd3,Gen 22:21
Kenan,ec56,Gen 5:9
Kenath,e3ce,Num 32:42
Kenaz,efd4,Gen 36:11
Kenites,efd5,Gen 15:19
Kephirah,e437,Jos 18:26
Keran,eff9,Gen 36:26
Kerioth,e459,Jer 48:24
Kesed,efd6,Gen 22:22
Keturah,eee1,Gen 25:1
Kezib,e1bf,Gen 38:5
Kibroth_Hattaavah,e2a0,Num 11:34
Kidron_Valley,eba6,John 18:1
Kilion,e41f,Ruth 1:5
Kinnereth,e3f2,Josh 19:35
Kir,e45a,Isa 22:6
Kiriath_Arba,efd7,Gen 23:2
Kiriath_Huzoth,e2f9,Num 22:39
Kiriath_Jearim,e438,Josh 9:17
Kish,eb49,1 Chr 24:29
Kislon,e3f3,Num 34:21
Kittim_island,eb88,Num 24:24
Kittim_man,edfc,Gen 10:4
Kohath,efd8,Gen 46:11
Korah,ecf3,Gen 36:14
Kozbi,e3d1,Num 25:15
Laban,edfd,Gen 24:29
Lachish,e439,Josh 10:3
Lael,e2a1,Num 3:24
Lamech,ec66,Gen 5:25
Laodicea,ebf9,Col 4:13
Lasea,ec16,Acts 27:8
Lasha,e1c0,Gen 10:19
Lasharon,e443,Josh 12:18
Latin,eba8,John 19:20
Lazarus,ec67,John 11:14
Leah,efd9,Gen 30:12
Lebanon,e599,Ps 29:5
Lebo_Hamath,e2a2,Num 34:8
Legion,e366,Mark 5:9
Lehabites,e1c1,Gen 10:13
Letush,eee2,Gen 25:3
Leum,eee3,Gen 25:3
Leummim,eee3,Gen 25:3
Levi,eb1b,Exod 1:2
Levi_Matthew,e35c,Luke 5:29
Libnah,e3f4,Josh 15:42
Libni,e2e2,Exod 6:17
Libya,eb73,Acts 2:10
lie,e17f,Acts 5:4
Linus,ecb0,2 Tim 4:21
Lo_Debar,e45b,2 Sam 9:4
Iob,e0ee,Gen 46:13
Lois,ecb7,2 Tim 1:5
Lot,ebdc,Gen 11:27
Lotan,effb,Gen 36:20
lots,ea16,Luke 23:34
Lucius,ec93,Acts 13:1
Lud,e1c2,Gen 10:22
Ludites,e1ea,Gen 10:13
Luke,eb68,Col 4:14
Luz,edfe,Gen 28:19
Lycaonia,eb51,Acts 14:6
Lycia,ec13,Acts 27:5
Lydda,ec2e,Acts 9:35
Lydia,eb50,Acts 16:14
Lysanias,ec40,Luke 3:1
Lysias,ec37,Acts 24:22
Lystra,eb44,Acts 16:2
Maakah_man,efda,1 Chr 11:43
Maakah_woman,e2d8,2 Chr 11:21
Maakath_land,e483,Josh 13:13
Maakath_man,e49c,Josh 12:5
Maath,ec4b,Luke 3:26
Macedonia,ec0d,Acts 16:9
Machir_man,e2d1,Gen 50:23
Machpelah,eee4,Gen 23:19
Madai,edff,Gen 10:2
Madon,e444,Josh 11:1
Magadan,ea30,Matt 15:39
Magdiel,effc,Gen 36:43
Magog_land,ecf9,Ezek 38:2
Magog_man,eea1,Rev 20:8
Mahalaiel,ec68,Gen 5:16
Mahalath,eea2,Gen 28:9
Mahanaim,efdb,Gen 32:2
Mahlah,e38c,Num 36:11
Mahli,e2c5,Ezra 8:18
Mahlon,e420,Ruth 1:5
Makheloth,e3f5,Num 33:26
Maki,e2a3,Num 13:15
Makir,e46f,Jos 13:31
Makkedah,e414,Josh 10:28
Malchus,ebb7,John 18:10
Malkiel,efcf,Gen 46:17
Malta,ec19,Acts 28:1
Mamre,eea3,Gen 18:1
